s,p,o
country:BDI,GDP per capita (current LCU),563304.0
country:AZE,GNI per capita (current LCU),8931.9
country:BDI,GNI per capita (current LCU),564862.0
country:AUT,GNI per capita (current LCU),44992.4
country:BEL,GNI per capita (current LCU),44160.1
country:BGR,Gross national expenditure (current US$),79404800000.0
country:BGD,Gross national expenditure (current US$),439896000000.0
country:BGD,Industry (including construction) value added (% of GDP),33.3161
country:BHR,Industry (including construction) value added (% of GDP),44.8034
country:BGR,Industry (including construction) value added (% of GDP),23.0368
country:BGR,GDP (current US$),80271100000.0
country:BFA,GDP (current US$),19737600000.0
country:BEN,GDP (current US$),17785600000.0
country:BGD,GDP (current US$),416265000000.0
country:BEN,GDP per capita (current LCU),792118.0
country:BGD,GDP per capita (current LCU),212274.0
country:BFA,GDP per capita (current LCU),509144.0
country:BGR,GDP per capita (current LCU),19240.7
country:BFA,GNI per capita (current LCU),482839.0
country:BGR,GNI per capita (current LCU),18729.8
country:BEN,GNI per capita (current LCU),783844.0
country:BGD,GNI per capita (current LCU),223447.0
country:BHS,Gross national expenditure (current US$),12395900000.0
country:BLR,Gross national expenditure (current US$),61287900000.0
country:BIH,Gross national expenditure (current US$),25511600000.0
country:BLZ,Gross national expenditure (current US$),1889980000.0
country:BIH,Industry (including construction) value added (% of GDP),24.6246
country:BLZ,Industry (including construction) value added (% of GDP),13.0386
country:BHS,Industry (including construction) value added (% of GDP),11.2922
country:BLR,Industry (including construction) value added (% of GDP),32.1536
country:BIH,GDP (current US$),22571500000.0
country:BHR,GDP (current US$),38868700000.0
country:BLR,GDP (current US$),68218800000.0
country:BHS,GDP (current US$),11208600000.0
country:BLR,GDP per capita (current LCU),18538.2
country:BHS,GDP per capita (current LCU),28239.4
country:BIH,GDP per capita (current LCU),11437.1
country:BHR,GDP per capita (current LCU),8359.35
country:BIH,GNI per capita (current LCU),11329.9
country:BLR,GNI per capita (current LCU),17831.7
country:BHS,GNI per capita (current LCU),26389.6
country:BOL,Gross national expenditure (current US$),41770200000.0
country:BMU,Gross national expenditure (current US$),5304400000.0
country:BRA,Gross national expenditure (current US$),1592590000000.0
country:BRA,Industry (including construction) value added (% of GDP),18.8581
country:BOL,Industry (including construction) value added (% of GDP),26.3609
country:BOL,GDP (current US$),40408200000.0
country:BLZ,GDP (current US$),1789920000.0
country:BRA,GDP (current US$),1608980000000.0
country:BMU,GDP (current US$),7080900000.0
country:BMU,GDP per capita (current LCU),110869.0
country:BOL,GDP per capita (current LCU),23596.9
country:BRA,GDP per capita (current LCU),40559.6
country:BLZ,GDP per capita (current LCU),8840.98
country:BLZ,GNI per capita (current LCU),8425.69
country:BOL,GNI per capita (current LCU),22983.4
country:BRA,GNI per capita (current LCU),39287.3
country:BMU,GNI per capita (current LCU),113661.0
country:BRN,Gross national expenditure (current US$),10957300000.0
country:CAF,Gross national expenditure (current US$),3169620000.0
country:BRN,Industry (including construction) value added (% of GDP),62.7016
country:BWA,GDP (current US$),17613800000.0
country:BRN,GDP (current US$),14006600000.0
country:BRB,GDP (current US$),4900800000.0
country:BWA,GDP per capita (current LCU),81464.5
country:BRB,GDP per capita (current LCU),34067.9
country:BRN,GDP per capita (current LCU),42628.9
country:BRB,GNI per capita (current LCU),33399.1
country:BWA,GNI per capita (current LCU),77044.1
country:CHE,Gross national expenditure (current US$),692700000000.0
